customer_id,date_min,date_max,active_days,review_count_total,reviews_per_day,time_gap_std,max_reviews_in_one_day,account_age_days,rating_variance,percent_extreme_rating,single_brand_focus_ratio,review_length_variance,avatar_default,label
5684803,2022-10-01 12:05:00,2022-10-01 12:05:00,1,1,1.0,0.0,1,3287.52,0.0,1.0,1.0,,1,
7155234,2022-08-06 15:38:00,2022-08-06 15:38:00,1,1,1.0,0.0,1,2922.2400000000002,0.0,1.0,1.0,,1,
8208059,2022-10-14 00:17:00,2022-10-14 00:17:00,1,1,1.0,0.0,1,2922.2400000000002,0.0,1.0,1.0,,0,
8810800,2023-12-29 12:34:00,2023-12-29 12:34:00,1,1,1.0,0.0,1,2556.96,0.0,1.0,1.0,,0,
11578646,2024-01-15 21:24:00,2024-01-15 21:24:00,1,1,1.0,0.0,1,2556.96,0.0,1.0,1.0,,1,
14997480,2023-05-02 17:02:00,2023-05-22 12:33:00,20,2,0.1,0.0,1,2191.6800000000003,0.0,1.0,1.0,1800.0,0,
20670627,2023-09-21 20:05:00,2023-09-21 20:05:00,1,1,1.0,0.0,1,1826.4,0.0,1.0,1.0,,1,
26489593,2022-09-24 21:36:00,2022-09-24 21:36:00,1,1,1.0,0.0,1,1461.1200000000001,0.0,1.0,1.0,,1,
26739615,2022-04-24 10:11:00,2022-04-25 14:50:00,2,2,1.0,0.0,1,1461.1200000000001,0.0,1.0,1.0,112.5,1,
28054778,2023-07-29 18:42:00,2023-07-29 18:42:00,1,1,1.0,0.0,1,1461.1200000000001,0.0,1.0,1.0,,1,
